id,name,parent_id
1,desserts,NULL
2,frozen-foods,1
3,frozen-desserts,2
4,ice-creams-and-sorbets,3
5,ice-creams,4
6,beverages-and-beverages-preparations,NULL
7,plant-based-foods-and-beverages,6
8,beverages,7
9,plant-based-foods,8
10,dairy-substitutes,9
11,milk-substitutes,10
12,nuts-and-their-products,11
13,plant-based-beverages,12
14,plant-based-milk-alternatives,13
15,nut-based-drinks,14
16,almond-based-drinks,15
17,breakfasts,NULL
18,spreads,17
19,sweet-spreads,18
20,fr:pates-a-tartiner,19
21,hazelnut-spreads,20
22,chocolate-spreads,21
23,cocoa-and-hazelnuts-spreads,22
24,snacks,NULL
25,sweet-snacks,24
26,cocoa-and-its-products,25
27,confectioneries,26
28,chocolate-candies,27
29,bars,28
30,candy-chocolate-bars,29
31,caramel-chocolate-bars,30
32,plant-based-foods-and-beverages,NULL
33,plant-based-foods,32
34,breakfasts,33
35,cereals-and-potatoes,34
36,cereals-and-their-products,35
37,breakfast-cereals,36
38,flakes,37
39,cereal-flakes,38
40,extruded-cereals,39
41,extruded-flakes,40
42,corn-flakes,41
43,biscuits-and-cakes,25
44,biscuits-and-crackers,43
45,biscuits,44
46,oatmeal-cookies,45
47,bonbons,28
48,assorted-chocolate-candies,47
49,bombones,48
50,botanas,49
51,dulces,50
52,dulces-de-chocolate,51
53,snacks-dulces,52
54,beverages,6
55,carbonated-drinks,54
56,sodas,55
57,non-alcoholic-beverages,56
58,colas,57
59,sweetened-beverages,58
60,chocolate-confectionery-with-dairy-filling,30
61,fermented-foods,32
62,dairy-substitutes,61
63,desserts,62
64,vegan-products,63
65,non-dairy-desserts,64
66,non-dairy-fermented-foods,65
67,non-dairy-yogurts,66
68,soy-milk-yogurts,67
69,biscuits,43
70,fats,33
71,vegetable-fats,70
72,vegetable-oils,71
73,fruit-and-fruit-seed-oils,72
74,coconut-oils,73
75,legumes-and-their-products,33
76,legumes,75
77,seeds,76
78,legume-seeds,77
79,meat-alternatives,78
80,meat-analogues,79
81,soy-beans,80
82,textured-vegetable-protein,81
83,textured-soy-protein,82
84,chocolates,26
85,dark-chocolates,84
86,dark-chocolate-bar-with-more-than-70-cocoa,85
87,extra-fine-dark-chocolates,86
88,condiments,NULL
89,sauces,88
90,meal-sauces,89
91,pasta-sauces,90
92,tomato-sauces,91
93,tomato-sauces-with-basil,92
94,extra-fine-dark-chocolates,85
95,wafers,45
96,chocolate-biscuits,95
97,stuffed-wafers,96
98,chocolate-stuffed-wafers,97
99,cereals-and-potatoes,33
100,cereals-and-their-products,99
101,pastas,100
102,cereal-pastas,101
103,dry-pastas,102
104,durum-wheat-pasta,103
105,dry-durum-wheat-pasta,104
106,penne,105
107,penne-rigate,106
108,pastas,33
109,dry-pastas,108
110,af:fusilli,109
111,chocolates,27
112,milk-chocolates,111
113,frozen-foods,NULL
114,meals,113
115,pizzas-pies-and-quiches,114
116,pizzas,115
117,vegetarian-pizzas,116
118,cheese-pizzas,117
119,frozen-pizzas-and-pies,118
120,frozen-pizzas,119
121,salty-snacks,24
122,appetizers,121
123,biscuits-and-crackers,122
124,crackers,123
125,rolled-flakes,39
126,rolled-oats,125
127,pestos,89
128,green-pestos,127
129,colas,56
130,cola-with-sugar,129
131,sweetened-beverages,130
132,flours,100
133,cereal-flours,132
134,starches,133
135,cereal-starches,134
136,corn-starch,135
137,chips-and-fries,122
138,biscuits-and-crackers,137
139,crisps,138
140,crackers,139
141,puffed-salty-snacks,140
142,puffed-salty-snacks-made-from-maize,141
143,dairies,NULL
144,fermented-foods,143
145,fermented-milk-products,144
146,cheeses,145
147,cow-cheeses,146
148,italian-cheeses,147
149,stretched-curd-cheeses,148
150,brined-cheeses,149
151,burrata,150
152,fresh-cheeses,151
153,cow-burrata,152
154,meals,78
155,pulses,154
156,common-beans,155
